system:index,B11_post,B11_pre,B12_post,B12_pre,B4_post,B4_pre,B8A_post,B8A_pre,NBR_post,NBR_pre,area,dNBR,label,latitude,longitude,.geo
1_1,0.1664000004529953,0.13920000195503235,0.17479999363422394,0.09494999796152115,0.06750000268220901,0.05959999933838844,0.09480000287294388,0.1509000062942505,-0.2967358746206553,0.2275778212902587,Semey,0.5243136882781982,1,50.54564878655654,80.76530473663055,"{""type"":""Point"",""coordinates"":[80.76530473663055,50.54564878655654]}"
1_6,0.2061000019311905,0.15780000388622284,0.2393999993801117,0.11330000311136246,0.07119999825954437,0.050999999046325684,0.10769999772310257,0.15700000524520874,-0.37942956714530474,0.16167221895235248,Semey,0.5411018133163452,1,50.574066047899336,80.78985893649927,"{""type"":""Point"",""coordinates"":[80.78985893649927,50.574066047899336]}"
1_9,0.23405000567436218,0.19599999487400055,0.24195000529289246,0.1446000039577484,0.1251000016927719,0.09539999812841415,0.16050000488758087,0.17409999668598175,-0.20238538537689793,0.09256351637479576,Semey,0.29494890570640564,1,50.54955368021947,80.76785436884687,"{""type"":""Point"",""coordinates"":[80.76785436884687,50.54955368021947]}"
1_25,0.14720000326633453,0.12514999508857727,0.16609999537467957,0.0832500010728836,0.04410000145435333,0.04129999876022339,0.0681999996304512,0.15119999647140503,-0.41784036633071425,0.28982723868736815,Semey,0.7076675891876221,1,50.5094896483003,80.94853010997831,"{""type"":""Point"",""coordinates"":[80.94853010997831,50.5094896483003]}"
1_26,0.14605000615119934,0.13124999403953552,0.16625000536441803,0.08760000020265579,0.052799999713897705,0.04924999922513962,0.0807500034570694,0.16419999301433563,-0.34615384151318573,0.3042096698774291,Semey,0.6503635048866272,1,50.4949434774496,80.84820938321431,"{""type"":""Point"",""coordinates"":[80.84820938321431,50.4949434774496]}"
1_31,0.16519999504089355,0.14865000545978546,0.1842000037431717,0.1010499969124794,0.06260000169277191,0.05824999883770943,0.08410000056028366,0.1632000058889389,-0.3730898307018733,0.2351939766039084,Semey,0.6082838177680969,1,50.49363297759279,80.87075809355291,"{""type"":""Point"",""coordinates"":[80.87075809355291,50.49363297759279]}"
1_37,0.15285000205039978,0.14710000157356262,0.13030000030994415,0.10339999943971634,0.0726500004529953,0.05139999836683273,0.1180500015616417,0.17180000245571136,-0.04932554320912209,0.24854652087533816,Semey,0.29787206649780273,1,50.396463204764544,80.95356477771368,"{""type"":""Point"",""coordinates"":[80.95356477771368,50.396463204764544]}"
1_40,0.13819999992847443,0.12309999763965607,0.13760000467300415,0.0771000012755394,0.06549999862909317,0.03869999945163727,0.09205000102519989,0.1768999993801117,-0.19834531904024455,0.3929133773502292,Semey,0.591258704662323,1,50.58867073697928,80.90937652385962,"{""type"":""Point"",""coordinates"":[80.90937652385962,50.58867073697928]}"
1_47,0.2062000036239624,0.196150004863739,0.2168000042438507,0.1468999981880188,0.10499999672174454,0.08169999718666077,0.13030000030994415,0.16529999673366547,-0.24920772918198122,0.058936575416224234,Semey,0.30814430117607117,1,50.531464202618395,80.72404098287343,"{""type"":""Point"",""coordinates"":[80.72404098287343,50.531464202618395]}"
1_52,0.17409999668598175,0.1319500058889389,0.19910000264644623,0.08340000361204147,0.04114999994635582,0.039799999445676804,0.08275000005960464,0.16965000331401825,-0.4128082365434149,0.3408417203765527,Semey,0.7536499500274658,1,50.58034736817243,80.88267616022293,"{""type"":""Point"",""coordinates"":[80.88267616022293,50.58034736817243]}"
